9 5.05888e-07 0.0061336 0.00304109 4.93451e-07 0.00612267 0.0029745
9.1 4.23582e-07 0.0058375 0.00331368 4.13032e-07 0.00582679 0.0032413
9.2 3.54581e-07 0.00555214 0.00359044 3.45635e-07 0.00554168 0.00351222
9.3 2.9675e-07 0.00527745 0.00387036 2.89167e-07 0.00526724 0.00378626
9.4 2.48294e-07 0.00501331 0.00415242 2.41869e-07 0.00500335 0.00406244
9.5 2.07703e-07 0.00475957 0.00443564 2.02261e-07 0.00474987 0.0043398
9.6 1.73709e-07 0.00451606 0.00471908 1.69102e-07 0.00450664 0.00461742
9.7 1.45248e-07 0.0042826 0.00500181 1.41348e-07 0.00427345 0.00489439
9.8 1.21424e-07 0.00405897 0.00528296 1.18125e-07 0.0040501 0.00516986
9.9 1.01486e-07 0.00384496 0.00556168 9.8696e-08 0.00383636 0.00544301
10 8.4805e-08 0.00364032 0.00583717 8.24461e-08 0.00363199 0.00571305
10.1 7.08516e-08 0.0034448 0.00610866 6.8858e-08 0.00343675 0.00597923
10.2 5.91823e-08 0.00325815 0.00637544 5.7498e-08 0.00325038 0.00624085
10.3 4.94255e-08 0.0030801 0.00663682 4.8003e-08 0.00307261 0.00649725
10.4 4.12695e-08 0.00291039 0.00689217 4.00683e-08 0.00290317 0.0067478
10.5 3.44529e-08 0.00274875 0.0071409 3.34391e-08 0.00274179 0.00699194
10.6 2.87571e-08 0.00259489 0.00738247 2.79016e-08 0.0025882 0.00722913
10.7 2.39986e-08 0.00244854 0.00761637 2.32769e-08 0.00244211 0.00745888
10.8 2.0024e-08 0.00230943 0.00784216 1.94154e-08 0.00230326 0.00768074
10.9 1.67048e-08 0.00217729 0.00805941 1.61917e-08 0.00217137 0.00789432
11 1.39335e-08 0.00205185 0.00826776 1.3501e-08 0.00204617 0.00809925
11.1 1.162e-08 0.00193284 0.00846689 1.12556e-08 0.00192739 0.0082952
11.2 9.68903e-09 0.00181999 0.00865651 9.38209e-09 0.00181478 0.00848192
11.3 8.07767e-09 0.00171306 0.00883637 7.81919e-09 0.00170807 0.00865914
11.4 6.73324e-09 0.00161178 0.00900627 6.51562e-09 0.00160701 0.00882667
11.5 5.61171e-09 0.00151591 0.00916603 5.42853e-09 0.00151135 0.00898435
11.6 4.67628e-09 0.00142522 0.00931554 4.52214e-09 0.00142086 0.00913205
11.7 3.89621e-09 0.00133945 0.0094547 3.76652e-09 0.0013353 0.00926966
11.8 3.24578e-09 0.0012584 0.00958343 3.13671e-09 0.00125444 0.00939714
11.9 2.70355e-09 0.00118184 0.00970172 2.61183e-09 0.00117807 0.00951444
12 2.25158e-09 0.00110955 0.00980956 2.17448e-09 0.00110596 0.00962157
12.1 1.87492e-09 0.00104133 0.00990698 1.81011e-09 0.00103791 0.00971855
12.2 1.56105e-09 0.000976982 0.00999404 1.50659e-09 0.000973727 0.00980543
12.3 1.29955e-09 0.000916309 0.0100708 1.25379e-09 0.000913214 0.0098823
12.4 1.08171e-09 0.000859128 0.0101374 1.04328e-09 0.000856187 0.00994926
